State,Quantity
Yukon,23.2
Northwest Territories,33.7
Nunavut,24.7
British Colombia,16
Alberta,21.5
Saskatchewan,25.1
Manitoba,24.5
Ontario,20.4
Quebec,18.2
Newfoundland and Labrador,30.4
Prince Edward Island,24.2
Nova Scotia,27.8
New Brunswick,26.4
